#;Country,_Other;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;Active Cases;SeriousCritical;Tot Cases/ 1M pop;Deaths/ 1M pop;Total Tests;"Tests/ 
1M pop";Population
156;Benin;261;;3;;151;107;;22;0;409;338;12098873
157;Libya;256;17;5;;52;199;;37;1;884;1288;6864777
158;Myanmar;240;4;6;;156;78;;4;0;33587;618;54385696
159;Martinique;202;;14;;98;90;;538;37;;;375283
160;Mongolia;193;2;;;71;122;14;59;;16062;4905;3274538
161;Faeroe_Islands;187;;;;187;0;;3828;;10257;209965;48851
162;Gibraltar;175;1;;;155;20;;5194;;8908;264395;33692
163;Guadeloupe;164;;14;;144;6;1;410;35;4975;12434;40012
164;Cayman_Islands;164;;1;;93;70;;2497;15;13947;212383;65669
165;Guyana;154;1;12;;80;62;3;196;15;1797;2285;786305
166;Bermuda;141;;9;;114;18;2;2264;144;7891;126678;62292
167;Brunei;141;;2;;138;1;1;323;5;20619;47162;437196
168;Comoros;141;9;2;;67;72;;162;2;;;868232
169;Syria;125;1;6;;58;61;;7;0;;;17468540
170;Cambodia;125;;;;123;2;1;7;;23156;1386;16702803
171;Trinidad_and_Tobago;117;;8;;108;1;;84;6;3387;2421;1399197
172;Bahamas;103;1;11;;62;30;2;262;28;2194;5583;39299
173;Aruba;101;;3;;98;0;;946;28;2174;20368;106737
174;Suriname;100;10;1;;9;90;;171;2;1165;1987;586278
175;Monaco;99;;4;;93;2;1;2524;102;162;413012;39224
176;Barbados;92;;7;;81;4;1;320;24;587;20428;287353
177;Angola;88;2;4;;24;60;1;3;0;10;305;32785106
178;Burundi;83;20;1;;45;37;;7;0;382;32;11862936
179;Liechtenstein;82;;1;;55;26;;2151;26;900;23609;38121
180;Sint_Maarten;77;;15;;61;1;1;1797;350;470;1097;42843
181;French_Polynesia;60;;;;60;0;;214;;4262;15178;280801
182;Bhutan;48;;;;11;37;;62;;19004;24648;771027
183;Macao;45;;;;45;0;;69;;;;648718
184;Saint_Martin;41;;3;;33;5;1;1062;78;614;15899;38619
185;Botswana;40;;1;;23;16;;17;0;24006;10223;2348147
