#;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;Active Cases;Serious Critical;Tot Cases/ 1M pop;Deaths/ 1M pop;Total Tests;"Tests/ 
1M pop";Population
92;Cuba;2107;15;83;;183;194;4;186;7;110349;9742;11327084
93;Mayotte;1993;7;24;;1523;446;9;732;88;76;27912;272282
94;Venezuela;1952;133;20;2;334;1598;;69;1;995522;35003;28441308
95;Estonia;1880;10;69;1;165;161;;1417;52;86;64834;1326474
96;Kyrgyzstan;1871;26;20;3;1265;586;5;287;3;119124;18282;6515934
97;Maldives;1850;9;7;;644;1199;9;3427;13;11775;21813;539808
98;Iceland;1806;;10;;1794;2;;5295;29;61355;179882;341085
99;Sri_Lanka;1735;52;11;;836;888;1;81;1;68204;3186;21406944
100;Lithuania;1684;2;71;;126;353;17;618;26;315112;115654;2724610
101;Slovakia;1525;3;28;;1375;122;;279;5;181629;33269;5459461
102;New_Zealand;1504;;22;;1481;1;;301;4;283525;56681;5002100
103;Ethiopia;1486;142;17;3;246;1223;6;13;0;120429;105;114732085
104;Slovenia;1477;2;109;;1358;10;;710;52;81873;39382;2078919
105;Mali;1386;35;79;1;788;519;;69;4;3483;172;20202090
106;Guinea-Bissau;1339;;8;;53;1278;;682;4;15;764;1964249
107;Equatorial_Guinea;1306;;12;;200;1094;;934;9;8268;591;1399026
108;Lebanon;1256;14;27;;724;505;5;184;4;8831;12935;6827456
109;Albania;1184;20;33;;898;253;4;411;11;15365;5339;2878009
110;CAR;1173;104;4;;23;1146;;243;1;15881;3293;4823282
111;Costa_Rica;1157;52;10;;685;462;5;227;2;27318;5366;5090731
112;Nicaragua;1118;;46;;370;702;;169;7;;;6618700
113;Hong_Kong;1094;;4;;1039;51;2;146;1;20293;27084;7492585
114;Zambia;1089;;7;;912;170;1;59;0;28236;1539;18341163
115;Tunisia;1087;1;49;1;965;73;1;92;4;53161;4502;11809527
116;Latvia;1079;8;24;;760;295;3;572;13;112965;59849;1887502
117;Paraguay;107;57;11;;511;548;2;150;2;33081;4642;7126012
118;South_Sudan;994;;10;;6;978;;89;1;3356;300;11183989
119;Niger;961;1;65;;857;39;;40;3;6087;252;24129683
120;Cyprus;958;6;17;;790;151;4;794;14;117411;97297;1206728
121;Sierra_Leone;909;13;47;1;491;371;;114;6;;;7964194
122;Madagascar;908;63;6;;195;707;9;33;0;11954;433;27632772
123;Burkina_Faso;884;3;53;;753;78;;42;3;;;20855822
124;Andorra;851;7;51;;735;65;7;11015;660;375;4854;77256
125;Uruguay;828;2;23;;698;107;4;238;7;45777;13181;3472889
126;Chad;820;17;66;;590;164;;50;4;;;16386505
127;Georgia;800;4;13;;640;147;6;201;3;60273;15107;3989681
128;Jordan;757;2;9;;561;187;5;74;1;204374;20045;10195716
129;Mauritania;745;77;34;3;57;654;;161;7;7654;165;4639619
130;Diamond_Princess;712;;13;;651;48;4;;;;;
131;San_Marino;674;2;42;;391;241;1;19867;1238;4662;137417;33926
132;Malta;622;2;9;;562;51;1;1409;20;71723;162467;441461
133;Congo;611;;20;;179;412;;111;4;;;5507057
134;Jamaica;590;2;9;;356;225;2;199;3;13407;4529;2960258
135;Channel_Islands;561;1;46;;512;3;;3229;265;10255;59023;173746
136;French_Guiana;533;16;1;;254;278;3;1788;3;;;298048
137;Tanzania;509;;21;;183;305;7;9;0;;;59592344
138;Uganda;507;18;;;82;425;;11;;96825;2123;45618000
139;Sao_Tome_and_Principe;484;;12;;68;404;;2212;55;175;800;218842
140;Réunion;478;1;1;;411;66;1;534;1;172;19221;894853
141;Cabo_Verde;477;11;5;;238;234;;859;9;1307;2353;555542
142;Palestine;457;6;3;;372;82;;90;1;44876;8813;5091874
143;Togo;452;7;13;;236;203;;55;2;21515;2604;8263094
144;Taiwan;443;;7;;428;8;;19;0;72683;3052;23813801
145;Yemen;419;20;95;8;17;307;;14;3;120;4;29773563
146;Rwanda;397;13;2;;271;124;;31;0;71141;5504;12926113
147;Malawi;369;11;4;;51;314;1;19;0;5049;264;19089469
148;Isle_of_Man;336;;24;;312;0;;3953;282;5046;59364;85001
149;Mauritius;335;;10;;322;3;;263;8;122008;95947;1271623
150;Vietnam;328;;;;302;26;1;3;;275;2827;97274870
151;Montenegro;324;;9;;315;0;;516;14;10167;16188;628061
152;Liberia;316;5;28;;169;119;;63;6;;;5048101
153;Mozambique;316;9;2;;109;205;;10;0;11563;371;31182649
154;Eswatini;295;1;3;;201;91;2;254;3;6551;5651;1159282
155;Benin;244;;3;;148;93;;20;0;35794;2959;12097132
156;Myanmar;233;1;6;;145;82;;4;0;29923;550;54383706
157;Zimbabwe;222;16;4;;29;189;;15;0;46613;314;14846545
158;Martinique;200;;14;;98;88;;533;37;;;375285
159;Libya;196;14;5;;52;139;;29;1;7501;1093;6864267
160;Faeroe_Islands;187;;;;187;0;;3828;;9857;201781;4885
161;Mongolia;185;;;;44;141;19;57;;14623;4466;3274249
162;Gibraltar;173;1;;;153;20;;5135;;8205;24353;33692
163;Guadeloupe;162;;14;;138;10;1;405;35;4137;10339;400119
164;Cayman_Islands;156;5;1;;78;77;;2376;15;12508;190482;65665
165;Guyana;153;;12;;70;71;2;195;15;1658;2109;786284
166;Bermuda;141;;9;;113;19;2;2263;144;7679;123272;62293
167;Brunei;141;;2;;138;1;1;323;5;19885;45485;437173
168;Comoros;132;;2;;27;103;;152;2;;;868131
169;Cambodia;125;;;;123;2;1;7;;21517;1288;16701538
170;Syria;123;;6;;53;64;;7;0;;;17466210
171;Trinidad_and_Tobago;117;;8;;108;1;;84;6;3228;2307;1399172
172;Bahamas;102;;11;;55;36;2;260;28;2121;5397;39297
173;Aruba;101;;3;;98;0;;946;28;2138;20031;106734
174;Monaco;99;;4;;90;5;1;2524;102;162;413034;39222
175;Barbados;92;;7;;81;4;1;320;24;558;19419;287351
176;Angola;86;;4;;18;64;1;3;0;10;305;32779493
177;Liechtenstein;82;;1;;55;26;;2151;26;900;2361;3812
178;Sint_Maarten;77;;15;;60;2;1;1797;350;450;10504;4284
179;Suriname;74;20;1;;9;64;;126;2;782;1334;58625
180;Burundi;63;;1;;33;29;;5;0;284;24;11860992
181;French_Polynesia;60;;;;60;0;;214;;404;14388;280793
182;Bhutan;47;;;;9;38;;61;;17898;23215;770981
183;Macao;45;;;;45;0;;69;;;;648669
184;Saint_Martin;41;;3;;33;5;1;1062;78;614;15901;38615
185;Botswana;40;;1;;23;16;;17;0;23337;994;2347887
186;Eritrea;39;;;;39;0;;11;;;;3542724
187;Antigua_and_Barbuda;26;;3;;20;3;1;266;31;246;2514;9787
188;Gambia;26;1;1;;20;5;;11;0;1873;777;2411022
189;St._Vincent_Grenadines;26;;;;15;11;;234;;595;5364;110915
190;Namibia;25;;;;16;9;;10;;4005;1578;2537333
191;Timor-Leste;24;;;;24;0;;18;;1568;1191;1316483
192;Grenada;23;;;;18;5;2;204;;3516;31257;112486
193;Curaçao;21;1;1;;15;5;;128;6;572;3487;164046
194;New_Caledonia;20;;;;18;2;;70;;6867;2407;285297
195;Laos;19;;;;18;1;;3;;7491;1031;7267570
196;Belize;18;;2;;16;0;;45;5;1671;4208;397068
197;Dominica;18;;;;16;2;;250;;534;7419;71974
198;Fiji;18;;;;15;3;;20;;2431;2713;895978
199;Saint_Lucia;18;;;;18;0;;98;;1113;6063;183568
200;Saint_Kitts_and_Nevis;15;;;;15;0;;282;;403;7579;53172
201;Falkland_Islands;13;;;;13;0;;3744;;535;15409;3472
202;Greenland;13;;;;11;2;;229;;2203;3881;56763
203;Turks_and_Caicos;12;;1;;11;0;;310;26;153;3956;38678
204;Vatican_City;12;;;;2;10;;14981;;;;801
205;Montserrat;11;;1;;10;0;;2204;200;61;1222;4992
206;Seychelles;11;;;;11;0;;112;;;;98304
207;MS_Zaandam;9;;2;;;7;;;;;;
208;Western_Sahara;9;;1;;6;2;;15;2;;;596147
209;British_Virgin_Islands;8;;1;;7;0;;265;33;167;5527;30217
210;Papua_New_Guinea;8;;;;8;0;;9;;4646;520;8933791
211;Caribbean_Netherlands;7;;;;7;0;;267;;424;1618;26205
212;St._Barth;6;;;;6;0;;608;;137;13873;9875
213;Lesotho;4;2;;;2;2;;2;;1515;708;2141023
214;Anguilla;3;;;;3;0;;200;;41;2735;14993
215;Saint_Pierre_Miquelon;1;;;;1;0;;173;;;;5796
