#;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;Active Cases;Serious Critical;Tot Cases/ 1M pop;Deaths/ 1M pop;Total Tests;"Tests/ 
1M pop";Population
99;CAR;1888;38;5;;38;1845;;391;1;18161;3764;4824660
100;Sri_Lanka;1869;10;11;;1122;736;1;87;1;80302;3751;21408412
101;Iceland;1807;;10;;1794;3;;5297;29;62911;184424;341121
102;Lithuania;1733;6;74;2;1369;290;17;636;27;345392;126796;2723992
103;Mali;1667;81;96;2;948;623;;82;5;3483;172;20211691
104;South_Sudan;1604;;19;;15;1570;;143;2;3356;300;11186140
105;Slovakia;1533;2;28;;1404;101;;281;5;191971;35163;5459505
106;New_Zealand;1504;;22;;1482;0;;301;4;298532;59681;5002100
107;Slovenia;1488;2;109;;1359;20;;716;52;86300;41512;2078923
108;Nicaragua;1464;;55;;953;456;;221;8;;;6619991
109;Costa_Rica;1461;86;12;1;722;727;3;287;2;30372;5965;5091493
110;Guinea-Bissau;1389;;12;;153;1224;5;707;6;1500;763;1965014
111;Lebanon;1388;20;30;;832;526;8;203;4;99534;1458;6826957
112;Albania;1341;42;34;;980;327;6;466;12;17027;5916;2877958
113;Equatorial_Guinea;1306;;12;;200;1094;;933;9;8268;5907;1399786
114;Mauritania;1283;121;71;10;142;1070;11;276;15;7654;1649;4641629
115;Paraguay;1202;15;11;;619;572;2;169;2;41702;5851;7127448
116;Zambia;1200;;10;;912;278;1;65;1;28236;1539;18349636
117;Madagascar;1162;24;10;1;296;856;8;42;0;14525;525;27644480
118;Hong_Kong;1108;;4;;1051;53;4;148;1;241992;32293;7493581
119;Latvia;1092;3;26;;794;272;4;579;14;121783;64532;1887162
120;Tunisia;1087;;49;;983;55;1;92;4;55891;4732;11811553
121;Sierra_Leone;1062;37;50;;637;375;;133;6;;;7966858
122;Niger;974;;65;;876;33;;40;3;6240;258;24144135
123;Cyprus;974;2;18;;807;149;4;807;15;133337;110482;1206871
124;Burkina_Faso;891;;53;;765;73;;43;3;;;20865254
125;French_Guiana;865;92;2;;457;406;6;2901;7;277;929;298175
126;Jordan;863;18;9;;663;191;5;85;1;240436;23578;10197375
127;Andorra;852;;51;;759;42;7;11028;660;3750;48538;77259
128;Uruguay;847;1;23;;758;66;4;244;7;50473;14533;3473086
129;Chad;846;2;72;1;706;68;;52;4;;;16394263
130;Georgia;827;9;13;;690;124;6;207;3;67725;16976;3989556
131;Congo;728;;24;;221;483;;132;4;;;5509290
132;Diamond_Princess;712;;13;;651;48;4;;;;;
133;San_Marino;691;3;42;;496;153;1;20367;1,238;5150;151797;33927
134;Uganda;665;8;;;119;546;;15;;106583;2335;45641795
135;Malta;635;3;9;;597;29;;1438;20;77884;176415;441481
136;Cabo_Verde;615;30;5;;294;316;;1107;9;1307;2352;555641
137;Sao_Tome_and_Principe;611;97;12;;135;464;;2791;55;1095;5002;218909
138;Jamaica;605;6;10;;407;188;2;204;3;15153;5118;2960470
139;Channel_Islands;565;;48;;512;5;;3251;276;10255;59014;173772
140;Yemen;560;36;129;2;23;408;;19;4;120;4;29784357
141;Togo;522;21;13;;265;244;1;63;2;23988;2902;8266284
142;Tanzania;509;;21;;183;305;7;9;0;;;59620347
143;Réunion;486;5;1;;447;38;1;543;1;17200;19219;894958
144;Palestine;485;4;3;;410;72;;95;1;44876;881;5093823
145;Rwanda;476;13;2;;307;167;;37;0;82239;636;12931392
146;Mozambique;472;19;2;;138;332;;15;0;15544;498;31197059
147;Malawi;455;;4;;55;396;4;24;0;6690;350;19097600
148;Taiwan;443;;7;;431;5;;19;0;73751;3097;23814505
149;Eswatini;398;27;3;;236;159;5;343;3;6551;565;1159478
150;Liberia;397;14;31;;200;166;;79;6;;;5050055
151;Libya;378;19;5;;59;314;;55;1;11070;1612;6865799
152;Mauritius;337;;10;;325;2;;265;8;137789;108354;1271657
153;Isle_of_Man;336;;24;;312;0;;3953;282;5350;62935;85009
154;Vietnam;332;;;;320;12;1;3;;275000;2827;97289213
155;Montenegro;324;;9;;315;0;;516;14;13186;20995;628062
156;Zimbabwe;320;6;4;;49;267;;22;0;52905;3563;14850093
157;Benin;305;;4;;188;113;2;25;0;45100;3727;12102356
158;Myanmar;248;2;6;;165;77;;5;0;42416;780;54389676
159;Martinique;202;;14;;98;90;;538;37;;;375280
160;Mongolia;194;;;;87;107;15;59;;16723;5106;3275116
161;Faeroe_Islands;187;;;;187;0;;3828;;10607;217121;48853
162;Cayman_Islands;180;4;1;;107;72;;2741;15;16072;244713;65677
163;Gibraltar;176;;;;169;7;;5224;;9508;282203;33692
164;Guadeloupe;164;;14;;144;6;1;410;35;4975;12434;400120
165;Comoros;162;21;2;;97;63;;187;2;;;868435
166;Guyana;156;;12;;92;52;1;198;15;1876;2386;786346
167;Syria;152;6;6;;68;78;;9;0;;;17473199
168;Suriname;144;7;2;;9;133;2;246;3;1165;1987;586336
169;Bermuda;141;;9;;125;7;2;2264;144;8359;134197;62289
170;Brunei;141;;2;;138;1;1;322;5;23293;53273;437242
171;Cambodia;126;;;;125;1;1;8;;24799;1484;16705332
172;Trinidad_and_Tobago;117;;8;;109;0;;84;6;3481;2488;1399246
173;Angola;113;17;4;;40;69;1;3;0;10000;305;32796332
174;Bahamas;103;;11;;67;25;1;262;28;2237;5692;393031
175;Aruba;101;;3;;98;0;;946;28;2186;20479;106742
176;Monaco;99;;4;;93;2;;2524;102;16200;412981;39227
177;Barbados;96;4;7;;83;6;1;334;24;6005;20897;287357
178;Burundi;83;;1;;45;37;;7;0;382;32;11866823
179;Liechtenstein;82;;1;;55;26;;2151;26;900;23608;38122
180;Sint_Maarten;77;;15;;61;1;1;1797;350;471;10992;42848
181;French_Polynesia;60;;;;60;0;;214;;4262;15177;280819
182;Bhutan;59;;;;18;41;;77;;20104;26071;771120
183;Botswana;48;6;1;;24;23;1;20;0;26238;11171;2348667
184;Macao;45;;;;45;0;;69;;;;648814
185;Saint_Martin;41;;3;;33;5;1;1061;78;614;15896;38626
186;Eritrea;41;2;;;39;2;;12;;;;3543529
187;Namibia;31;;;;17;14;1;12;;5084;2003;2538088
188;Gambia;28;;1;;22;5;;12;0;1970;817;2412139
189;St._Vincent_Grenadines;27;;;;25;2;;243;;643;5797;110921
190;Antigua_and_Barbuda;26;;3;;20;3;1;266;31;246;2513;97884
191;Timor-Leste;24;;;;24;0;;18;;1568;1191;1316895
192;Grenada;23;;;;22;1;1;204;;4130;36713;112495
193;Curaçao;22;1;1;;15;6;;134;6;1080;6583;164057
194;New_Caledonia;21;;;;20;1;;74;;7477;26204;285342
195;Belize;20;;2;;16;2;;50;5;1776;4471;397186
196;Laos;19;;;;19;0;;3;;9220;1268;7269302
197;Saint_Lucia;19;;;;18;1;;103;;1264;6885;183582
198;Dominica;18;;;;16;2;;250;;534;7419;71977
199;Fiji;18;;;;18;0;;20;;2431;2713;896085
200;Saint_Kitts_and_Nevis;15;;;;15;0;;282;;417;7842;53178
201;Falkland_Islands;13;;;;13;0;;3743;;535;154045;3473
202;Greenland;13;;;;13;0;;229;;2412;42491;56765
203;Turks_and_Caicos;12;;1;;11;0;;310;26;192;4963;38686
204;Vatican_City;12;;;;12;0;;14981;;;;801
205;Montserrat;11;;1;;10;0;;2204;200;61;1222;4992
206;Seychelles;11;;;;11;0;;112;;;;98314
207;MS_Zaandam;9;;2;;;7;;;;;;
208;Western_Sahara;9;;1;;6;2;;15;2;;;596388
209;British_Virgin_Islands;8;;1;;7;0;;265;33;167;5526;30220
210;Papua_New_Guinea;8;;;;8;0;;;;5281;591;8936574
211;Caribbean_Netherlands;7;;;;7;0;;267;;424;16178;26209
212;St._Barth;6;;;;6;0;;608;;152;15392;9875
213;Lesotho;4;;;;2;2;;2;;1515;708;2141301
214;Anguilla;3;;;;3;0;;200;;41;2734;14995
215;Saint_Pierre_Miquelon;1;;;;1;0;;173;;;;5795
