#;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;Active Cases;Serious Critical;Tot Cases/ 1M pop;Deaths/ 1M pop;Total Tests;"Tests/ 
1M pop";Population
1;USA;2066401;20852;11513;982;808494;1142777;16838;6245;348;22625758;68377;330896410
2;Brazil;775184;331;39797;13;380300;355087;8318;3648;187;1182581;5566;212475738
3;Russia;493657;8404;63580;216;252783;234516;23;3383;44;13545303;9282;145931211
4;UK;290143;1003;41128;245;N/A;N/A;516;4275;606;6042622;89037;67866605
5;Spain;289360;314;27136;;N/A;N/A;617;6189;580;4465338;95507;46753838
6;India;287155;12375;8107;388;140979;138069;8944;208;6;5061332;367;1379233699
7;Italy;235763;202;34114;71;169939;31710;249;3899;564;4381349;72459;60466359
8;Peru;208823;5087;5903;165;98031;104889;1065;6339;179;1255756;38117;32944770
9;Germany;186510;;8844;13;170700;6966;492;2226;106;4694147;56036;83769646
10;Iran;177938;2011;8506;81;140590;28842;2639;212;101;1128601;13447;83930199
11;Turkey;173036;922;4746;17;146839;21451;631;2053;56;2451700;29087;84287073
12;France;155136;545;29319;23;71832;53985;933;2377;449;1384633;21215;65265877
13;Chile;148496;5737;2475;192;95631;50390;1689;7772;130;761090;39833;19106987
14;Mexico;124301;4199;14649;596;90748;18904;378;965;114;357055;2771;128855326
15;Pakistan;113702;5385;2255;83;36308;75139;111;515;10;754252;3419;220626768
16;Saudi_Arabia;112288;3717;819;36;77954;33515;1693;3228;24;1019812;29321;34781424
17;Canada;97125;472;796;63;56639;32526;1864;2575;211;1989255;52732;37723541
18;China;83046;3;4634;;78357;55;1;58;3;;;1439323776
19;Bangladesh;74865;319;1012;37;15900;57953;1;455;6;441560;2683;164596070
20;Qatar;73595;1716;66;4;49413;24116;226;26211;24;269964;96148;2807805
21;Belgium;59569;132;9629;10;16392;33548;102;5141;831;969619;83682;11586902
22;South_Africa;55421;243;121;48;31505;22706;208;935;20;998400;16846;59265120
23;Belarus;51066;801;288;6;25667;25111;92;5404;30;659565;69799;9449483
24;Sweden;48092;1427;4795;78;N/A;N/A;288;4764;475;325000;32192;10095806
25;Netherlands;48087;184;6042;11;N/A;N/A;80;2807;353;435587;25424;17132868
26;Ecuador;44440;523;372;30;21862;18858;219;2521;211;128175;7271;17627077
27;Colombia;43682;1604;1433;61;17333;24916;335;859;28;444933;875;50851849
28;UAE;40507;603;284;1;24017;16206;1;4098;29;2537000;256691;9883472
29;Singapore;38965;451;25;;26532;12408;3;6663;4;488695;83569;5847776
30;Egypt;38284;1455;1342;36;10289;26653;41;375;13;135000;1321;102215478
31;Portugal;35600;294;1497;5;21742;12361;70;3491;147;954069;93553;10198203
32;Indonesia;34316;124;1959;36;12129;20228;;126;7;446918;1635;273358192
33;Kuwait;33823;683;275;2;23288;10260;193;7927;64;324373;76022;4266818
34;Switzerland;31011;23;1936;2;28700;375;21;3585;224;435458;50336;8651110
35;Ukraine;28381;525;833;23;12769;14779;306;649;19;445940;10194;43746561
36;Poland;27842;282;1206;23;13411;13225;160;736;32;1109909;29325;37848732
37;Argentina;25987;1226;735;18;7991;17261;274;575;16;208519;4616;45172359
38;Ireland;25231;16;1695;4;22698;838;34;5113;343;367780;74531;4934614
39;Philippines;23732;740;1027;10;4895;17810;82;217;9;461962;4219;109495553
40;Afghanistan;22142;683;405;21;3013;18724;19;570;10;50658;1303;38872577
41;Romania;20945;196;136;6;15103;4482;150;1088;71;520564;27051;19243900
42;Dominican_Republic;20808;393;550;6;12318;7940;110;1919;51;100035;9227;10841720
43;Oman;18887;689;84;1;5640;13163;85;3705;16;116722;22895;5098156
44;Israel;18355;175;299;;15168;2888;31;1996;33;692745;75318;9197590
45;Panama;17889;656;413;10;10977;6499;90;415;96;82774;19202;4310696
46;Japan;17251;41;919;3;15298;1034;91;136;7;324675;2567;126495892
47;Austria;17005;26;673;1;15910;422;17;1889;75;506344;56238;9003589
48;Bahrain;16200;469;31;2;11109;5060;12;9544;18;386134;227485;1697405
49;Iraq;15414;1146;426;34;6214;8774;88;384;11;330526;8229;40165118
50;Bolivia;14644;695;487;12;2190;11967;3;1256;42;39610;3396;11663656
51;Armenia;14103;428;227;10;5226;8650;10;476;77;73156;2469;2962951
52;Nigeria;13873;409;382;17;4351;9140;7;67;2;82935;403;205808201
53;Kazakhstan;13319;245;67;6;8345;4907;62;710;4;1023417;54542;18763697
54;Serbia;12031;66;251;1;11348;432;14;1377;29;287064;32848;8739120
55;Denmark;12016;15;593;;10904;519;17;2075;102;739575;127709;5791110
56;S._Korea;11902;50;276;2;10611;1015;15;232;5;1051972;2052;51266883
57;Algeria;10484;102;732;8;7074;2678;33;239;17;;;43802599
58;Moldova;10321;296;371;6;5930;4020;308;2558;92;63328;15697;4034437
59;Ghana;10201;;48;;3755;6398;10;329;2;239395;7714;31032265
60;Czechia;9824;73;330;2;7111;2383;11;917;31;478825;44717;10707935
61;Cameroon;8681;369;212;;4836;3633;28;328;8;;;26502964
62;Norway;8594;18;239;;8138;217;2;1586;44;267877;49434;5418878
63;Azerbaijan;8530;339;102;4;4720;3708;66;842;10;356032;35132;10134025
64;Morocco;8508;71;211;1;7565;732;15;231;6;356051;9653;36885243
65;Malaysia;8338;2;118;1;7014;1206;5;258;4;618360;1912;32341792
66;Guatemala;7866;364;289;22;1413;6164;5;440;16;31427;1756;17895213
67;Australia;7276;9;102;;6744;430;3;286;4;1679954;65925;25482802
68;Finland;7040;15;324;;5800;916;4;1271;58;208300;37597;5540268
69;Honduras;6935;485;271;9;787;5877;13;701;27;21540;2177;9895152
70;Sudan;6582;155;401;12;2202;3979;;150;9;401;9;43783668
71;Tajikistan;4763;73;48;;2947;1768;;500;5;;;9524025
72;Senegal;4640;124;52;;2885;1703;18;278;3;55634;3328;16714923
73;Uzbekistan;4623;103;19;1;3532;1072;9;138;1;748555;22385;33440454
74;DRC;4390;131;96;6;565;3729;;49;1;;;89376223
75;Djibouti;4373;42;34;;2260;2079;;443;34;38240;38738;987148
76;Nepal;4364;278;15;;674;3675;;150;1;283624;9745;29104766
77;Guinea;4258;;23;;2942;1293;24;325;2;14407;1099;13109226
78;Ivory_Coast;4181;186;41;3;2174;1966;;159;2;33476;1271;26335915
79;Luxembourg;4049;3;110;;3904;35;2;6475;176;88914;142179;625365
80;Hungary;4027;10;551;1;2355;1121;20;417;57;217689;22531;9661588
81;Haiti;3662;124;56;2;24;3582;;321;5;7619;669;11394459
82;North_Macedonia;3364;125;164;7;1664;1536;34;1615;79;39033;18735;2083378
83;Gabon;3294;47;21;;956;2317;13;1482;9;16730;7528;2222362
84;El_Salvador;3274;83;64;6;1438;1772;91;505;10;113656;17528;6484427
85;Thailand;3125;4;58;;2981;86;1;45;1;468175;6708;69790694
86;Kenya;3094;105;89;1;1048;1957;7;58;2;102956;1917;53696273
87;Greece;3068;10;183;;1374;1511;12;294;18;240924;23109;10425563
88;Bulgaria;2993;104;167;;1664;1162;13;431;24;95820;13785;6950954
89;Bosnia_and_Herzegovina;2775;47;161;1;2063;551;4;846;49;73379;22359;3281811
90;Venezuela;2738;106;23;;487;2228;1;96;1;1053417;3704;28439993
91;Ethiopia;2506;170;35;3;401;2070;32;22;0;158521;1381;114778909
92;Somalia;2452;36;85;;506;1861;2;155;5;;;15863692
93;Croatia;2249;2;106;;2130;13;;548;26;69349;16888;4106498
94;Mayotte;2226;51;28;;1654;544;12;8172;103;8800;32307;272390
95;Cuba;2211;6;83;;1886;242;1;195;7;124947;11031;11326971
96;Kyrgyzstan;2093;38;26;2;1572;495;6;321;4;139610;2142;6517700
97;Maldives;1962;20;8;;1121;833;9;3634;15;28940;53596;539964
98;Estonia;1958;11;69;;1690;199;;1476;52;92000;69356;1326489
