#;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;Active Cases;Serious Critical;Tot Cases/ 1M pop;Deaths/ 1M pop;Total Tests;"Tests/ 
1M pop";Population
121;Sierra_Leone;1001;32;49;1;611;341;;126;6;;;7965970
122;Niger;973;;65;;869;39;;40;3;6215;257;24139318
123;Cyprus;970;6;18;;807;145;4;804;15;125312;103836;1206824
124;Burkina_Faso;890;1;53;;765;72;;43;3;;;20862110
125;Andorra;852;;51;;751;50;7;11028;660;375;48539;77258
126;Uruguay;845;;23;;738;84;4;243;7;48896;14079;3473020
127;Chad;839;2;70;1;685;84;;51;4;;;16391677
128;Jordan;831;23;9;;627;195;5;81;1;228778;22436;10196822
129;Georgia;812;3;13;;683;116;6;204;3;67725;16975;3989597
130;French_Guiana;729;40;2;1;400;327;5;2445;7;277;929;298133
131;Diamond_Princess;712;;13;;651;48;4;;;;;
132;San_Marino;687;7;42;;478;167;1;20249;1238;4749;139977;33927
133;Congo;683;;22;;210;451;;124;4;;;5508546
134;Uganda;646;30;;;103;543;;14;;10416;2283;45633864
135;Malta;630;1;9;;596;25;;1427;20;75881;171881;441474
136;Jamaica;598;2;10;;405;183;2;202;3;14586;4927;2960399
137;Cabo_Verde;567;13;5;;266;296;;1021;9;1307;2352;555608
138;Channel_Islands;564;1;46;;512;6;;3246;265;10255;59017;173764
139;Sao_Tome_and_Principe;513;;12;;68;433;;2344;55;175;799;218887
140;Tanzania;509;;21;;183;305;7;9;0;;;59611013
141;Togo;497;2;13;;251;233;;60;2;23255;2814;8265220
142;Yemen;496;12;112;;23;361;;17;4;120;4;29780759
143;Réunion;481;1;1;;447;33;4;537;1;172;1922;894923
144;Palestine;473;1;3;;404;66;;93;1;44876;8811;5093173
145;Rwanda;451;12;2;;297;152;;35;0;78259;6053;12929633
146;Taiwan;443;;7;;430;6;;19;0;73601;3091;23814271
147;Malawi;443;5;4;;55;384;4;23;0;6542;343;19094890
148;Mozambique;433;9;2;;131;300;;14;0;1458;467;31192256
149;Liberia;370;11;30;;195;145;;73;6;;;5049404
150;Eswatini;340;7;3;;229;108;5;293;3;6551;565;1159413
151;Mauritius;337;;10;;324;3;;265;8;133883;105283;1271646
152;Isle_of_Man;336;;24;;312;0;;3953;282;5282;62137;85006
153;Libya;332;76;5;;57;270;;48;1;10525;1533;6865288
154;Vietnam;332;3;;;316;16;1;3;;275;2827;97284432
155;Montenegro;324;;9;;315;0;;516;14;13186;20995;628061
156;Benin;288;27;4;1;186;98;1;24;0;451;3727;12100615
157;Zimbabwe;287;5;4;;46;237;;19;0;52905;3563;14848910
158;Myanmar;244;2;6;;159;79;;4;0;39211;721;54387686
159;Martinique;202;;14;;98;90;;538;37;;;375282
160;Mongolia;194;1;;;75;119;15;59;;16325;4985;3274827
161;Faeroe_Islands;187;;;;187;0;;3828;;10298;2108;48852
162;Gibraltar;176;;;;165;11;;5224;;9033;268105;33692
163;Cayman_Islands;171;7;1;;102;68;;2604;15;14733;224339;65673
164;Guadeloupe;164;;14;;144;6;1;410;35;4975;12434;40012
165;Guyana;154;;12;;84;58;2;196;15;1816;2309;786326
166;Syria;144;3;6;;62;76;;8;0;;;17470870
167;Bermuda;141;;9;;120;12;2;2264;144;8169;131143;62291
168;Brunei;141;;2;;138;1;1;322;5;22092;50528;437219
169;Comoros;141;;2;;67;72;;162;2;;;868334
170;Suriname;128;6;2;1;9;117;1;218;3;1165;1987;586307
171;Cambodia;126;;;;123;3;1;8;;23879;143;16704067
172;Trinidad_and_Tobago;117;;8;;109;0;;84;6;3421;2445;1399221
173;Bahamas;103;;11;;64;28;1;262;28;2225;5661;393011
174;Aruba;101;;3;;98;0;;946;28;2179;20414;106739
175;Monaco;99;;4;;93;2;1;2524;102;162;413002;39225
176;Barbados;92;;7;;81;4;1;320;24;5925;20619;287355
177;Angola;92;1;4;;38;50;1;3;0;10;305;32790719
178;Burundi;83;;1;;45;37;;7;0;382;32;11864879
179;Liechtenstein;82;;1;;55;26;;2151;26;900;23608;38122
180;Sint_Maarten;77;;15;;61;1;1;1797;350;470;1097;42845
181;French_Polynesia;60;;;;60;0;;214;;4262;15178;28081
182;Bhutan;59;11;;;14;45;;77;;19539;2534;771074
183;Macao;45;;;;45;0;;69;;;;648766
184;Botswana;42;2;1;;24;17;1;18;0;26238;11173;2348407
185;Saint_Martin;41;;3;;33;5;1;1062;78;614;15898;38622
186;Eritrea;39;;;;39;0;;11;;;;3543261
187;Namibia;31;2;;;16;15;1;12;;4943;1948;2537837
188;Gambia;28;2;1;;21;6;;12;0;1907;791;2411767
189;St._Vincent_Grenadines;27;;;;16;11;;243;;638;5752;110919
190;Antigua_and_Barbuda;26;;3;;20;3;1;266;31;246;2513;97879
191;Timor-Leste;24;;;;24;0;;18;;1568;1191;1316758
192;Grenada;23;;;;22;1;1;204;;413;36714;112492
193;Curaçao;21;;1;;15;5;;128;6;985;6004;164053
194;New_Caledonia;20;;;;20;0;;70;;7257;25434;285327
195;Belize;19;;2;;16;1;;48;5;1741;4384;397147
196;Laos;19;;;;18;1;;3;;8607;1184;7268725
197;Saint_Lucia;19;;;;18;1;;103;;1204;6559;183577
198;Dominica;18;;;;16;2;;250;;534;7419;71976
199;Fiji;18;;;;18;0;;20;;2431;2713;896049
200;Saint_Kitts_and_Nevis;15;;;;15;0;;282;;408;7673;53176
201;Falkland_Islands;13;;;;13;0;;3743;;535;154045;3473
202;Greenland;13;;;;13;0;;229;;2371;41769;56764
203;Turks_and_Caicos;12;;1;;11;0;;310;26;192;4963;38683
204;Vatican_City;12;;;;12;0;;14981;;;;801
205;Montserrat;11;;1;;10;0;;2204;200;61;1222;4992
206;Seychelles;11;;;;11;0;;112;;;;9831
207;MS_Zaandam;9;;2;;;7;;;;;;
208;Western_Sahara;9;;1;;6;2;;15;2;;;596308
209;British_Virgin_Islands;8;;1;;7;0;;265;33;167;5526;30219
210;Papua_New_Guinea;8;;;;8;0;;9;;4646;520;8935646
211;Caribbean_Netherlands;7;;;;7;0;;267;;424;16178;26208
212;St._Barth;6;;;;6;0;;608;;152;15392;9875
213;Lesotho;4;;;;2;2;;2;;1515;708;2141209
214;Anguilla;3;;;;3;0;;200;;41;2734;14995
215;Saint_Pierre_Miquelon;1;;;;1;0;;173;;;;5796
